Transactions Per Block,Estimated Transaction Volume,Fees Per Transaction,Market Value to Realised Value,Confirmed Payments,Price,Vol.,Change %,Date
0.3268959235177417,0.009746551132128157,0.001304949051140005,0.14486280922159495,0.10185162287910741,0.006212174712794699,0.042409932668354126,0.14579368100494863,2015-12-25
0.3053216714533059,0.00904875394641788,0.0012959884410702037,0.1452493224916138,0.10205310288399133,0.00568388666715937,0.2086780786969876,0.12356299961933767,2015-12-26
0.28374741938887005,0.00810492923258158,0.0012870278310004022,0.1422810942294364,0.10225458288887523,0.0057796901987512694,0.06761177753544166,0.1494734170790509,2015-12-27
0.26217316732443424,0.007161104518745277,0.001278067220930601,0.13931286596725898,0.10243211979407775,0.005771478467471964,0.06838213960561464,0.14480395888846595,2015-12-28
0.24915735749521442,0.006217279804908977,0.0012462912820488973,0.13634463770508157,0.10260965669928027,0.005909709277340275,0.07068322111392354,0.15130059637101892,2015-12-29
0.23614154766599454,0.005273455091072676,0.0012145153431671939,0.13727513971726985,0.10278719360448278,0.005844015427105831,0.06830210198793434,0.1423930973226748,2015-12-30
0.2231257378367746,0.004817962016522157,0.0011827394042854904,0.13820564172945815,0.1029647305096853,0.005883705461622474,0.06524066311166248,0.14685953559193,2015-12-31
0.21010992800755474,0.004362468941971637,0.001150963465403787,0.13913614374164643,0.10311042978825449,0.005938450336817845,0.04699208628055186,0.1475701053165842,2016-01-01
0.22398729909666606,0.003906975867421118,0.0011837937731310171,0.1400666457538347,0.1032561290668237,0.005934344471178192,0.033585785319099976,0.14503235629996195,2016-01-02
0.2378646701857774,0.0034514827928705982,0.0012166240808582473,0.139935639619664,0.10340182834539291,0.005893285814781664,0.05485578221764229,0.14340819692932372,2016-01-03
0.2517420412748887,0.004657690158443337,0.0012494543885854775,0.13980463348549332,0.10354752762396212,0.005928869983658655,0.05303492641541525,0.14673264814109888,2016-01-04
0.265619412364,0.005863897524016076,0.0012822846963127079,0.1396736273513226,0.10373264390788672,0.005900128924181085,0.04505117405180435,0.14394112422281438,2016-01-05
0.26735079144812574,0.007070104889588815,0.0012768792935548736,0.14160569411657256,0.10391776019181133,0.005894654436661548,0.043450421698198155,0.1449562238294633,2016-01-06
0.26908217053225153,0.008276312255161554,0.0012714738907970394,0.14353776088182252,0.10410287647573595,0.006253233369191227,0.1302612227747041,0.16063951275218882,2016-01-07
0.2708135496163773,0.007822157831946806,0.0012660684880392054,0.14546982764707245,0.10428799275966055,0.0061971198721159715,0.09135293587986354,0.14287526963583305,2016-01-08
0.27254492870050306,0.007368003408732059,0.0012606630852813711,0.1474018944123224,0.10447014690540571,0.006134163265641295,0.03982871949816414,0.14262149473417082,2016-01-09
0.2770856894010127,0.006913848985517311,0.001269971235988866,0.14665178722116495,0.10465230105115088,0.006105422206163726,0.04448090602583214,0.14399187920314682,2016-01-10
0.2816264501015223,0.006459694562302564,0.0012792793866963608,0.14590168003000747,0.10483445519689603,0.00612595153436199,0.05661660980660911,0.14604745590661086,2016-01-11
0.28616721080203195,0.006785888026805062,0.0012885875374038557,0.14515157283885002,0.10501660934264119,0.006088998743605114,0.04461096715456265,0.14366197183098595,2016-01-12
0.2907079715025416,0.007112081491307561,0.0012978956881113505,0.13738575803411263,0.10520794795404408,0.005913815142979928,0.09208327914119636,0.13785052658292096,2016-01-13
0.2953272398576616,0.007438274955810059,0.0012595558268418188,0.12961994322937523,0.10539928656544695,0.005871387864703516,0.04619171010374876,0.14338281943915748,2016-01-14
0.2999465082127817,0.007764468420312557,0.0012212159655722872,0.1218541284246378,0.10559062517684983,0.005094010636929251,0.2682660850599782,0.1115594467707144,2016-01-15
0.3045657765679017,0.00704613624466499,0.0011828761043027557,0.1140883136199004,0.10578196378825272,0.005267825615674552,0.18404650185587226,0.15388910036797362,2016-01-16
0.30918504492302173,0.006327804069017423,0.0011445362430332238,0.11440455523957546,0.105985158607796,0.005233610068677446,0.0661210769061459,0.1434843293998224,2016-01-17
0.3248727542411919,0.005609471893369857,0.0012487957960128052,0.11472079685925049,0.10618835342733929,0.005259613884395247,0.06933258631556832,0.1464534957492704,2016-01-18
0.3405604635593621,0.00489113971772229,0.0013530553489923863,0.11503703847892557,0.10639154824688256,0.005192551412280918,0.0663811991636069,0.14191092500951658,2016-01-19
0.35624817287753224,0.004879065500192664,0.0014573149019719675,0.11535328009860063,0.10659474306642584,0.005672937692120297,0.1904094924614569,0.16868417713488137,2016-01-20
0.37193588219570234,0.004866991282663039,0.001561574454951549,0.11587150819044958,0.10680810837005598,0.005612718329405388,0.08998229167708824,0.14251998477350591,2016-01-21
0.3573619887112696,0.004854917065133414,0.0015135257495193025,0.11638973628229854,0.10702147367368613,0.0052349786905573304,0.14492811621462087,0.1281055703590915,2016-01-22
0.34278809522683684,0.004842842847603789,0.001465477044087056,0.11690796437414752,0.10723483897731627,0.005317096003350387,0.061408862165217654,0.14914350970689003,2016-01-23
0.3282142017424042,0.005883568724243836,0.0014174283386548096,0.1181175956856704,0.10744820428094641,0.005501859957134763,0.0645703480635899,0.15401598781880474,2016-01-24
0.3136403082579714,0.0069242946008838836,0.0013693796332225631,0.11932722699719334,0.1076737715626371,0.005374578122305526,0.06769181515312198,0.13927166603222943,2016-01-25
0.31114871461060306,0.007965020477523932,0.0013543098424865457,0.12053685830871624,0.1078993388443278,0.005333519465908998,0.05683671325522996,0.14325593198832637,2016-01-26
0.30865712096323483,0.009005746354163978,0.0013392400517505283,0.11882967050594573,0.1081249061260185,0.00540468780366298,0.04370053925344912,0.14858520492323313,2016-01-27
0.3061655273158665,0.008076635521136615,0.0013241702610145105,0.11712248270317524,0.10835047340770919,0.005195288656040686,0.07735635748801938,0.13533815505646493,2016-01-28
0.3036739336684982,0.007147524688109254,0.0013091004702784931,0.11541529490040475,0.10855970044506984,0.005203500387319993,0.13852510680019609,0.14559066108361884,2016-01-29
0.3045398341962017,0.006218413855081894,0.0013537974018801243,0.11370810709763424,0.1087689274824305,0.005169284840322886,0.036197012595920085,0.1434843293998224,2016-01-30
0.3054057347239051,0.005289303022054533,0.0013984943334817558,0.11308618043783891,0.10897815451979115,0.005059795089932144,0.03903834802357108,0.13985534830605256,2016-01-31
0.3062716352516085,0.0058274093866267805,0.0014431912650833872,0.11246425377804359,0.10918738155715181,0.005092642015049366,0.07438496093163788,0.14678340312143132,2016-02-01
0.307137535779312,0.006365515751199027,0.0014878881966850187,0.11184232711824826,0.10940602935754735,0.005115908587007399,0.05100397186677739,0.14637736327877177,2016-02-02
0.2944211254428341,0.006903622115771273,0.0013971004211219965,0.11370970560970672,0.10962467715794291,0.0050351598960942275,0.05983812391824157,0.14117497779469612,2016-02-03
0.28170471510635625,0.00744172848034352,0.0013063126455589746,0.1155770841011651,0.10984332495833846,0.005344468440948072,0.10191790141366443,0.16079177769318617,2016-02-04
0.2689883047698783,0.006941955094856631,0.0012155248699959524,0.11744446259262356,0.110061972758734,0.005288354943872817,0.060948645863555875,0.14246922979317347,2016-02-05
