Date,Confirmed Payments
2019-03-29,396060389.0
2019-04-02,397560778.0
2019-04-06,399063502.0
2019-04-10,400491259.0
2019-04-14,402034908.0
2019-04-18,403462303.0
2019-04-22,404918202.0
2019-04-26,406360316.0
2019-04-30,407847689.0
2019-05-04,409467939.0
2019-05-08,410864056.0
2019-05-12,412286381.0
2019-05-16,413750644.0
2019-05-20,415195412.0
2019-05-24,416740497.0
2019-05-28,418228062.0
2019-06-01,419699192.0
2019-06-05,421000986.0
2019-06-09,422381534.0
2019-06-13,423706779.0
2019-06-17,425060575.0
2019-06-21,426507765.0
2019-06-25,427968264.0
2019-06-29,429496915.0
2019-07-03,430894074.0
2019-07-07,432390866.0
2019-07-11,433764593.0
2019-07-15,435059067.0
2019-07-19,436412702.0
2019-07-23,437638264.0
2019-07-27,438910919.0
2019-07-31,440128033.0
2019-08-04,441501346.0
2019-08-08,442880797.0
2019-08-12,444135872.0
2019-08-16,445518540.0
2019-08-20,446738249.0
2019-08-24,448041779.0
2019-08-28,449280974.0
2019-09-01,450660388.0
2019-09-05,451968086.0
2019-09-09,453288908.0
2019-09-13,454620184.0
2019-09-17,455850312.0
2019-09-21,457244415.0
2019-09-25,458540193.0
2019-09-29,459862484.0
2019-10-03,461123521.0
2019-10-07,462388900.0
2019-10-11,463712218.0
2019-10-15,464942535.0
2019-10-19,466295480.0
2019-10-23,467582972.0
2019-10-27,468869146.0
2019-10-31,470055810.0
2019-11-04,471247114.0
2019-11-08,472529824.0
2019-11-12,473774076.0
2019-11-16,475069560.0
2019-11-20,476249278.0
2019-11-24,477512144.0
2019-11-28,478697560.0
2019-12-02,479870557.0
2019-12-06,481170589.0
2019-12-10,482362284.0
2019-12-14,483610063.0
2019-12-18,484811929.0
2019-12-22,486089966.0
2019-12-26,487209890.0
2019-12-30,488408114.0
2020-01-03,489572666.0
2020-01-07,490763687.0
2020-01-11,492078809.0
2020-01-15,493308752.0
2020-01-19,494578989.0
2020-01-23,495819165.0
2020-01-27,497010617.0
2020-01-31,498303172.0
2020-02-04,499563560.0
2020-02-08,500892017.0
2020-02-12,502190188.0
2020-02-16,503524815.0
2020-02-20,504823586.0
2020-02-24,506069685.0
2020-02-28,507401128.0
2020-03-03,508730234.0
2020-03-07,510117441.0
2020-03-11,511412827.0
2020-03-15,512605951.0
2020-03-19,513610484.0
2020-03-23,514615625.0
2020-03-27,515664266.0
2020-03-31,516690787.0
2020-04-04,517840235.0
2020-04-08,518926212.0
2020-04-12,520037763.0
2020-04-16,521163188.0
2020-04-20,522312894.0
2020-04-24,523541482.0
2020-04-28,524705940.0
2020-05-02,526022596.0
2020-05-06,527247124.0
2020-05-10,528558865.0
2020-05-14,529794208.0
2020-05-18,530906830.0
2020-05-22,532032847.0
2020-05-26,533062704.0
2020-05-30,534231865.0
2020-06-03,535388210.0
2020-06-07,536631092.0
2020-06-11,537854272.0
2020-06-15,539060238.0
2020-06-19,540314507.0
2020-06-23,541502518.0
2020-06-27,542812617.0
2020-07-01,543968606.0
2020-07-05,545310370.0
2020-07-09,546617219.0
2020-07-13,547914934.0
2020-07-17,549246751.0
2020-07-21,550438348.0
2020-07-25,551820942.0
2020-07-29,553095438.0
2020-08-02,554422556.0
2020-08-06,555665915.0
2020-08-10,556901315.0
2020-08-14,558230773.0
2020-08-18,559488830.0
2020-08-22,560816607.0
2020-08-26,562049916.0
2020-08-30,563347869.0
2020-09-03,564613771.0
2020-09-07,565811414.0
2020-09-11,567132303.0
2020-09-15,568348616.0
2020-09-19,569700045.0
2020-09-23,570865205.0
2020-09-27,572161256.0
2020-10-01,573414811.0
2020-10-05,574614906.0
2020-10-09,575927903.0
2020-10-13,577136548.0
2020-10-17,578449559.0
2020-10-21,579591519.0
2020-10-25,580871863.0
2020-10-29,581879482.0
2020-11-02,582975972.0
2020-11-06,584172804.0
2020-11-10,585352179.0
2020-11-14,586602857.0
2020-11-18,587788639.0
2020-11-22,589120273.0
2020-11-26,590384379.0
2020-11-30,591587779.0
2020-12-04,592897766.0
2020-12-08,594058381.0
